time,open,high,low,close,atr,phase,p_none,p_long,p_short,y
1767225600.0,87616.5,87794.0,87608.5,87713.5,145.23053778450935,2.0,0.25473467674458955,0.33062123100095986,0.4146440922544506,1
1767226500.0,87714.5,87763.0,87714.5,87754.5,138.39264222847297,2.0,0.3145481314058001,0.21514357550125848,0.47030829309294137,0
1767227400.0,87755.5,87756.0,87710.0,87724.0,131.79316778358205,2.0,0.36238224615189796,0.3375997953472993,0.3000179585008027,1
1767228300.0,87723.0,87828.5,87723.0,87782.5,129.91508437046906,2.0,0.4505768163236727,0.1482082631770223,0.401214920499305,0
1767229200.0,87782.5,87992.5,87782.5,87970.0,135.63543548686414,2.0,0.24049582762634844,0.17701703350712553,0.5824871388665259,2
1767230100.0,87970.0,88026.0,87841.5,87845.5,139.1257615235167,2.0,0.39510275976023995,0.18267217566306246,0.4222250645766976,0
1767231000.0,87845.5,87875.5,87806.0,87868.0,134.15249284326552,2.0,0.290960823618756,0.17024453206314272,0.5387946443181012,0
1767231900.0,87868.0,87989.0,87849.5,87925.0,134.53445764017513,2.0,0.21493177056239263,0.18322075741995394,0.6018474720176534,2
1767232800.0,87926.0,88006.0,87877.5,87972.5,134.1034249515912,2.0,0.2556432898040229,0.2547312639734339,0.4896254462225431,2
1767233700.0,87972.5,88074.0,87912.0,87934.0,136.096037455049,2.0,0.25912152159005336,0.2529324782236161,0.48794600018633066,2
1767234600.0,87934.0,88038.5,87922.0,87937.5,134.69632049397407,2.0,0.26793448749359994,0.3577312714892398,0.37433424101716034,2
1767235500.0,87937.5,87947.5,87873.0,87893.0,130.39658331583308,2.0,0.3724957230921608,0.2787857936049175,0.3487184833029218,2
1767236400.0,87893.0,87974.5,87863.0,87970.5,129.04682736470215,2.0,0.3375081462040184,0.32636162037532773,0.33613023342065373,2
1767237300.0,87970.5,88004.0,87871.5,87909.5,129.29348255293772,2.0,0.31350440996747647,0.3245226694970755,0.36197292053544805,2
1767238200.0,87909.5,87934.0,87883.5,87916.0,123.66537665629932,2.0,0.3565132678195652,0.32048046224094906,0.3230062699394858,2
1767239100.0,87917.0,87917.0,87815.5,87828.0,122.08213546656366,2.0,0.27398700970153694,0.4737062865028037,0.2523067037956594,2
1767240000.0,87833.0,87841.0,87615.5,87634.0,129.46912579038053,2.0,0.33222449636985923,0.4094475529500848,0.258327950680056,1
1767240900.0,87635.0,87677.0,87524.0,87615.0,131.14990251963906,2.0,0.2681841770198793,0.468470125837106,0.26334569714301465,1
1767241800.0,87620.0,87649.0,87536.5,87536.5,129.81776662537914,2.0,0.3987406868389917,0.28071537264392066,0.3205439405170876,1
1767242700.0,87554.0,87639.0,87544.5,87575.0,127.8664975807092,2.0,0.3905523217481608,0.3175824197858764,0.2918652584659628,1
1767243600.0,87575.0,87710.5,87575.0,87679.0,128.41174775351567,2.0,0.32319025821037245,0.3201031812784589,0.3567065605111687,1
1767244500.0,87678.0,87718.0,87648.0,87689.5,124.23948005683599,2.0,0.3847358910040497,0.33553471092738735,0.2797293980685629,1
1767245400.0,87688.5,87729.0,87628.5,87683.5,122.54380290991914,4.0,0.42920896099346567,0.39122313860780134,0.17956790039873305,1
1767246300.0,87683.5,87707.0,87676.0,87684.0,116.00495984492491,4.0,0.4959394937884354,0.3243072135398175,0.17975329267174703,1
1767247200.0,87684.0,87684.0,87611.0,87634.0,112.93317699885884,4.0,0.42727892410266594,0.370208923032908,0.20251215286442614,1
1767248100.0,87634.0,87646.0,87629.5,87642.0,106.04509292751179,4.0,0.4565702449026607,0.38849066475632044,0.15493909034101874,1
1767249000.0,87641.0,87656.0,87630.0,87639.0,100.32758628983238,4.0,0.34593651544119797,0.48535782288362705,0.168705661675175,1
1767249900.0,87639.0,87645.0,87630.0,87630.0,94.2327586977015,4.0,0.3525682982823741,0.45997464127871596,0.18745706043890994,1
1767250800.0,87630.0,87649.5,87566.5,87624.5,93.43041879072283,4.0,0.35865204186312494,0.4573846517178411,0.18396330641903394,1
1767251700.0,87624.5,87648.5,87578.5,87581.0,91.75681744852834,4.0,0.3947789445273006,0.34821523784992375,0.2570058176227757,1
1767252600.0,87581.0,87645.5,87581.0,87617.5,89.8099019164906,4.0,0.33405044050018273,0.3429691412569971,0.3229804182428202,1
1767253500.0,87616.5,87649.5,87589.0,87612.0,87.71633749388413,2.0,0.385642977626592,0.3013289811696804,0.3130280412037276,1
1767254400.0,87613.0,87808.0,87598.5,87740.5,96.41517053003525,4.0,0.53894089934089,0.2224658273254493,0.2385932733336608,1
1767255300.0,87739.5,87755.0,87691.5,87719.0,94.06408692074703,4.0,0.4144587690562631,0.3709318177955962,0.21460941314814072,1
1767256200.0,87719.0,87764.0,87674.5,87675.5,93.73808071212224,4.0,0.3412746023756139,0.5100382704412622,0.14868712718312393,1
1767257100.0,87681.0,87755.0,87680.0,87751.0,92.72107494697066,4.0,0.5279894101663741,0.37322325470321566,0.09878733513041023,1
1767258000.0,87750.0,87841.0,87725.0,87831.0,94.38385530790134,4.0,0.43824729387044553,0.29374142019137034,0.2680112859381842,1
1767258900.0,87832.0,87950.5,87791.0,87807.5,99.0350085001941,4.0,0.45263317906039074,0.3338058447915349,0.21356097614807434,1
1767259800.0,87807.5,87857.5,87807.5,87851.5,95.53250789303738,4.0,0.3866338898317494,0.45694991616756636,0.1564161940006842,1
1767260700.0,87850.5,87856.0,87824.0,87856.0,90.99447161496329,2.0,0.3555001057871196,0.5112182662608927,0.13328162795198764,1
1767261600.0,87856.0,87862.5,87828.5,87840.5,86.9234379281802,2.0,0.36353356214123367,0.5302708710070897,0.10619556685167664,1
1767262500.0,87839.5,87839.5,87761.5,87832.5,86.35747807616734,2.0,0.31783406279374143,0.5691934596330426,0.112972477573216,1
1767263400.0,87832.5,87842.0,87805.0,87809.5,82.83194392786967,2.0,0.33411694922942736,0.49872018711834326,0.1671628636522294,1
1767264300.0,87809.5,87863.0,87805.5,87843.0,81.02251936159327,2.0,0.35409958113479045,0.45982143201049186,0.1860789868547177,1
1767265200.0,87842.0,87940.0,87828.5,87900.5,83.19948226433661,2.0,0.3528264264088176,0.5137835408585754,0.13339003273260702,0
1767266100.0,87900.5,87958.0,87892.5,87898.5,81.93523353116971,2.0,0.3864666096469716,0.49974510686548196,0.11378828348754634,0
1767267000.0,87899.5,87934.5,87847.5,87889.0,82.29700256465759,1.0,0.32718707786682805,0.5801491473676171,0.09266377476555475,0
1767267900.0,87889.5,87993.0,87888.5,87989.5,83.88293095289633,1.0,0.5164017072628031,0.3457474055764707,0.1378508871607261,2
1767268800.0,87989.5,88009.0,87946.5,87968.0,82.35557874197517,1.0,0.3237906585574965,0.5804914876382709,0.09571785380423274,2
1767269700.0,87961.5,87999.0,87912.0,87971.5,82.68732311754836,1.0,0.3497233627581682,0.5172429032109719,0.13303373403086002,2
1767270600.0,87970.5,87970.5,87890.5,87939.5,82.56680003772348,1.0,0.3471879010254881,0.5736586729535029,0.07915342602100911,0
1767271500.0,87939.5,87955.0,87906.5,87907.0,80.13345717788609,1.0,0.1268475347254259,0.8336085155943008,0.03954394968027316,0
1767272400.0,87907.0,87963.5,87850.5,87950.0,82.48106737946566,1.0,0.17843836350835138,0.6669358339584543,0.15462580253319425,0
1767273300.0,87949.5,87991.5,87922.5,87947.5,81.51813399521811,1.0,0.15594620651671154,0.731274235578395,0.11277955790489354,0
1767274200.0,87947.5,87959.0,87909.5,87954.5,79.23112442413111,1.0,0.19486383575799238,0.6694535928032006,0.13568257143880705,0
1767275100.0,87950.0,87950.0,87827.0,87880.0,82.6789012509789,1.0,0.28076302258259545,0.6288853587121036,0.09035161870530088,0
1767276000.0,87880.0,87932.0,87783.5,87918.5,87.38040830448041,1.0,0.33669506994936826,0.5159275754707298,0.14737735457990195,0
1767276900.0,87919.5,87933.0,87807.5,87830.5,90.10323628273181,1.0,0.40271547863105805,0.4618477604873045,0.13543676088163745,1
1767277800.0,87830.5,87870.5,87766.5,87869.5,91.09586226253668,1.0,0.30400056339808107,0.3258128471656308,0.3701865894362881,1
1767278700.0,87868.5,87939.0,87850.5,87927.0,90.91044352949835,4.0,0.2833163531216883,0.29585110464919484,0.42083254222911687,1
1767279600.0,87927.0,87952.0,87880.0,87951.0,89.55969756310562,4.0,0.2547563105237422,0.3387549589756316,0.4064887305006262,0
1767280500.0,87952.0,88051.0,87933.5,87975.0,91.55543345145522,4.0,0.2834568526724403,0.17952168195347296,0.5370214653740869,0
1767281400.0,87974.0,88086.0,87894.5,87983.5,98.69433106206556,4.0,0.23812926378190757,0.20881900096495387,0.5530517352531384,0
1767282300.0,87984.5,88059.0,87950.5,87996.0,99.39473598620374,4.0,0.22361343372105055,0.1608975799831507,0.6154889862957987,0
1767283200.0,87996.0,88016.0,87876.0,87906.0,102.29511198718919,4.0,0.1977945795961831,0.2090552965184814,0.5931501238853355,1
1767284100.0,87905.0,87930.5,87839.5,87922.0,101.48831827381854,4.0,0.19732068156020097,0.18694276506707064,0.6157365533727285,1
1767285000.0,87923.0,87965.5,87903.5,87907.0,98.66772411140293,4.0,0.25854949446645653,0.2277106181361558,0.5137398873973877,1
1767285900.0,87907.0,87964.5,87907.0,87964.5,95.72717238915988,4.0,0.28125795273505166,0.1447792506183944,0.5739627966465539,1
1767286800.0,87964.5,88054.0,87941.5,88025.0,96.92523150421988,4.0,0.21080497159870734,0.20313017210181894,0.5860648562994738,1
1767287700.0,88026.0,88251.0,88000.0,88226.5,107.93057211106132,4.0,0.3140170609883005,0.10321092279242215,0.5827720162192772,0
1767288600.0,88225.5,88485.0,88225.5,88316.5,118.7569598174141,4.0,0.4610994118383309,0.05592208247128493,0.48297850569038414,0
1767289500.0,88316.5,88433.0,88258.5,88290.5,122.73860554474166,1.0,0.479707932317783,0.09940881336215977,0.42088325432005713,0
1767290400.0,88290.0,88342.0,88141.0,88145.5,128.3287051486887,1.0,0.38628574105084584,0.1647251681631877,0.44898909078596655,1
1767291300.0,88143.0,88235.0,88075.0,88076.0,130.59094049521093,1.0,0.5575295989731611,0.1300247607785973,0.31244564024824156,1
1767292200.0,88075.0,88165.0,88075.0,88153.5,127.69158760269588,1.0,0.16242349675530993,0.7335310876337298,0.10404541561096016,1
1767293100.0,88154.0,88196.0,88126.0,88174.5,123.57075991678903,1.0,0.20145188631625047,0.715099523863678,0.08344858982007157,1
1767294000.0,88174.5,88174.5,88045.5,88090.5,123.95856277987552,1.0,0.23260774430166764,0.6825035934677701,0.08488866223056223,1
1767294900.0,88090.5,88150.5,88089.5,88139.5,119.46152258131299,1.0,0.22723324586440774,0.6996280772534021,0.07313867688218999,1
1767295800.0,88138.5,88316.0,88136.0,88304.0,123.78569953979064,1.0,0.2841413725684118,0.5846194002845183,0.1312392271470699,1
1767296700.0,88303.0,88413.0,88275.0,88364.0,124.80100671551989,1.0,0.2659216725174147,0.10983257589025408,0.6242457515923312,0
1767297600.0,88363.0,88364.0,88268.5,88308.5,122.70807766441133,1.0,0.2557327823308821,0.6604383980715942,0.08382881959752375,1
1767298500.0,88308.5,88337.0,88280.5,88336.0,117.97892925981053,1.0,0.41222855419133175,0.13347708084698098,0.4542943649616873,1
1767299400.0,88336.0,88345.0,88210.5,88219.5,119.15900574125264,1.0,0.155835857267867,0.7994076958896534,0.044756446842479564,1
1767300300.0,88218.5,88257.5,88205.5,88229.5,114.36193390259173,1.0,0.15363275019860312,0.7940136768055983,0.05235357299579855,1
1767301200.0,88235.5,88409.0,88220.0,88354.0,119.6932243381209,1.0,0.3368059710918851,0.24151440594123474,0.4216796229668802,1
1767302100.0,88354.0,88369.5,88322.0,88350.0,114.53656545682655,1.0,0.38554983001086623,0.25719631910074897,0.35725385088838474,1
1767303000.0,88351.0,88364.0,88294.5,88295.5,111.31966792419608,1.0,0.15888553014603188,0.7717775704643722,0.06933689938959604,1
1767303900.0,88294.5,88365.0,88271.0,88355.0,110.0825487867535,1.0,0.3478273558646722,0.16790606959476903,0.4842665745405587,1
1767304800.0,88356.0,88582.5,88356.0,88483.0,118.46950958769969,1.0,0.37926861884132235,0.11662907521753864,0.504102305941139,1
1767305700.0,88483.0,88554.0,88442.0,88500.0,118.00740176000686,1.0,0.34492161220757583,0.15249715404451492,0.5025812337479093,1
1767306600.0,88498.5,88566.5,88390.5,88559.0,122.14973020572066,1.0,0.3472500174304165,0.1255089255890536,0.5272410569805299,1
1767307500.0,88558.0,88674.5,88503.0,88611.0,125.67474947674062,1.0,0.41475356326371765,0.07114639324716748,0.5141000434891149,0
1767308400.0,88630.0,88748.5,88441.5,88545.5,138.62655308554486,1.0,0.4006260391088374,0.09190281626617618,0.5074711446249864,1
1767309300.0,88546.5,88765.0,88546.5,88696.5,144.40322786514878,1.0,0.34379625737898306,0.05397765905590816,0.6022260835651086,0
1767310200.0,88696.5,88853.0,88696.5,88853.0,145.26728301763814,1.0,0.16104230620379525,0.09778953763281328,0.7411681561633915,2
1767311100.0,88854.0,88890.5,88719.0,88808.0,147.14104851637828,1.0,0.1106546769350661,0.09118498571272243,0.7981603373522116,2
1767312000.0,88811.0,88849.5,88563.0,88608.0,157.09525933663699,1.0,0.3745311272431677,0.15179017080696985,0.47367870194986245,0
1767312900.0,88608.0,88689.0,88556.5,88678.5,155.3384550983058,1.0,0.22658604081423253,0.2045078040952174,0.5689061550905501,0
1767313800.0,88673.5,88846.0,88608.5,88659.0,161.20713687699825,1.0,0.4686244878637991,0.10380204767606947,0.42757346446013145,0
1767314700.0,88659.0,88859.0,88659.0,88803.5,163.97805567149837,1.0,0.25642909870389197,0.137395109049859,0.606175792246249,2
1767315600.0,88803.5,88846.0,88703.5,88723.0,162.44390883781992,1.0,0.23916981885838048,0.1421360419658188,0.6186941391758007,0
1767316500.0,88723.5,88723.5,88646.0,88650.0,156.37648677797563,1.0,0.45991036687664666,0.12158904257249403,0.41850059055085936,0
1767317400.0,88650.0,88675.5,88488.0,88603.5,158.59959486526307,1.0,0.40839187417379264,0.19471120129214645,0.39689692453406095,0
1767318300.0,88603.5,88632.0,88537.0,88608.0,154.05676666060143,1.0,0.4521280186562533,0.19102728629885077,0.35684469504489597,0
1767319200.0,88616.5,88638.5,88386.0,88458.5,161.08842618484417,1.0,0.27217639688100187,0.24454366048825663,0.4832799426307415,1
1767320100.0,88463.0,88500.0,88335.0,88397.5,161.36782431449816,1.0,0.2952797229208735,0.2854605150043186,0.4192597620748078,1
1767321000.0,88397.5,88497.5,88388.5,88457.0,157.62726543489114,1.0,0.23944939502589638,0.36657188330815255,0.3939787216659511,1
1767321900.0,88456.0,88618.0,88434.5,88608.0,159.4753179038275,1.0,0.31766366725269307,0.33464910417321625,0.3476872285740907,1
1767322800.0,88609.5,88949.0,88533.5,88936.0,177.76279519641122,1.0,0.35782431827168154,0.20455784526379975,0.43761783646451874,0
1767323700.0,88932.0,88957.5,88780.5,88852.0,177.70830982523898,1.0,0.3232770516522262,0.293315131891799,0.3834078164559748,0
