time,open,high,low,close,volume
1718048700,69710.5,69710.5,69396.5,69485.0,12578.0
1718049600,69508.5,69551.0,69343.5,69382.0,6267.0
1718050500,69360.0,69610.0,69356.0,69609.0,8486.0
1718051400,69608.0,69669.0,69593.0,69612.5,1507.0
1718052300,69579.5,69693.0,69579.5,69632.0,1602.0
1718053200,69626.0,69705.0,69616.0,69705.0,1505.0
1718054100,69697.0,69697.0,69545.5,69570.0,1429.0
1718055000,69576.0,69613.0,69559.0,69613.0,910.0
1718055900,69614.0,69614.0,69587.0,69596.0,975.0
1718056800,69602.0,69610.5,69485.0,69572.0,3348.0
1718057700,69557.5,69571.5,69497.0,69557.0,418.0
1718058600,69543.5,69543.5,69432.0,69449.0,906.0
1718059500,69460.0,69485.5,69448.5,69485.5,767.0
1718060400,69512.5,69568.5,69503.0,69503.0,684.0
1718061300,69463.5,69568.5,69430.0,69498.5,830.0
1718062200,69450.0,69550.0,69431.5,69550.0,503.0
1718063100,69538.0,69584.5,69498.5,69556.5,656.0
1718064000,69555.5,69596.5,69516.0,69543.5,1174.0
1718064900,69540.0,69580.0,69500.0,69500.0,2028.0
1718065800,69497.5,69550.0,69430.0,69451.5,1758.0
1718066700,69450.5,69490.0,69413.5,69426.0,2996.0
1718067600,69429.5,69521.0,69393.0,69521.0,4469.0
1718068500,69550.0,69550.0,69413.5,69462.5,607.0
1718069400,69462.5,69500.0,69390.0,69390.0,1408.0
1718070300,69389.5,69442.5,68490.5,68755.0,33690.0
1718071200,68727.0,68938.0,68550.0,68573.5,14491.0
1718072100,68550.0,68550.0,67900.0,68159.5,36974.0
1718073000,68170.5,68170.5,67998.5,68094.5,4762.0
1718073900,68074.5,68346.5,68074.5,68268.0,11813.0
1718074800,68234.5,68414.0,68201.5,68344.5,7220.0
1718075700,68348.5,68512.5,68179.5,68478.0,8631.0
1718076600,68481.0,68481.0,68346.0,68361.5,5952.0
1718077500,68360.5,68491.0,68333.0,68477.5,3615.0
1718078400,68430.0,68440.5,67973.5,68078.5,16079.0
1718079300,68074.5,68217.5,67630.0,67963.5,18274.0
1718080200,67956.0,68123.5,67682.0,68113.0,14148.0
1718081100,68109.5,68143.5,68032.5,68047.0,3657.0
1718082000,68015.5,68086.0,67917.5,67964.5,5359.0
1718082900,67925.5,68031.5,67854.0,67888.0,3707.0
1718083800,67892.0,67925.0,67743.5,67827.5,8000.0
1718084700,67842.0,67933.0,67687.0,67927.0,7131.0
1718085600,67900.0,68000.0,67885.0,67947.5,2278.0
1718086500,67944.0,67944.0,67556.0,67719.0,12474.0
1718087400,67728.5,67774.0,67611.5,67730.0,8756.0
1718088300,67718.0,67780.5,67303.0,67710.0,22289.0
1718089200,67680.0,67829.0,67565.0,67789.5,6071.0
1718090100,67798.5,67849.0,67745.0,67849.0,3944.0
1718091000,67849.0,67849.0,67567.0,67714.5,7707.0
1718091900,67719.5,67750.0,67533.0,67590.0,8119.0
1718092800,67568.5,67659.0,67356.0,67394.0,7593.0
1718093700,67355.0,67500.0,67277.5,67472.0,7168.0
1718094600,67450.5,67642.0,67450.5,67624.0,8732.0
1718095500,67624.0,67624.0,67519.0,67527.0,7424.0
1718096400,67527.0,67678.0,67513.5,67554.0,7004.0
1718097300,67546.5,67546.5,67346.0,67389.5,13316.0
1718098200,67396.5,67447.0,67185.0,67243.5,14326.0
1718099100,67236.5,67280.0,66859.0,67094.0,38299.0
1718100000,67087.0,67212.0,66738.0,67166.0,36203.0
1718100900,67172.0,67307.0,67167.5,67280.5,14093.0
1718101800,67279.5,67279.5,67102.5,67118.5,12697.0
1718102700,67108.0,67234.0,66879.0,66984.0,15329.0
1718103600,66964.0,67134.5,66791.5,67128.5,12187.0
1718104500,67128.5,67128.5,66926.0,66947.5,10689.0
1718105400,66950.0,67037.5,66821.0,66988.0,9879.0
1718106300,67018.0,67056.0,66854.0,66894.0,5122.0
1718107200,66917.0,67203.5,66819.0,67188.0,19907.0
1718108100,67186.5,67190.5,66829.5,66831.5,17238.0
1718109000,66839.5,67093.5,66839.5,67092.5,9108.0
1718109900,67099.0,67186.5,67005.5,67035.5,10019.0
1718110800,67036.0,67248.0,66879.5,67219.0,17799.0
1718111700,67222.5,67306.0,67169.5,67276.5,22809.0
1718112600,67272.5,67272.5,66923.5,66975.0,23637.0
1718113500,66988.5,67069.5,66532.0,66829.5,47791.0
1718114400,66820.0,67041.5,66800.0,67037.0,27911.0
1718115300,67049.0,67050.0,66863.0,66941.5,10446.0
1718116200,66937.0,67107.5,66860.0,67080.5,7834.0
1718117100,67088.5,67113.5,66859.5,66859.5,7409.0
1718118000,66861.5,67075.5,66633.5,67073.0,18478.0
1718118900,67058.0,67088.5,66763.0,66866.0,9585.0
1718119800,66869.0,66893.0,66005.5,66126.0,53131.0
1718120700,66145.5,66467.5,66145.5,66250.0,22957.0
1718121600,66228.5,66682.0,66172.0,66636.5,24838.0
1718122500,66641.5,66693.5,66451.5,66618.0,22615.0
1718123400,66632.0,66744.5,66504.0,66660.0,26400.0
1718124300,66697.5,66720.0,66340.5,66493.5,16779.0
1718125200,66505.5,66637.0,66430.5,66582.0,14898.0
1718126100,66574.5,66604.0,66182.5,66305.0,24514.0
1718127000,66298.5,66563.0,66289.0,66534.0,18480.0
1718127900,66532.5,66821.0,66500.0,66787.0,27719.0
1718128800,66778.0,66851.5,66665.0,66838.5,21271.0
1718129700,66830.0,67081.0,66803.0,67008.0,27657.0
1718130600,66983.0,67241.5,66946.0,67196.0,23226.0
1718131500,67198.5,67211.5,67037.5,67128.5,9106.0
1718132400,67131.5,67277.5,67114.0,67265.5,9666.0
1718133300,67272.0,67283.0,67076.0,67164.5,6946.0
1718134200,67173.5,67310.0,67157.5,67309.0,3147.0
1718135100,67319.5,67591.5,67299.5,67399.0,31532.0
1718136000,67371.0,67502.5,67299.0,67441.5,4790.0
1718136900,67451.5,67455.0,67270.0,67338.5,2149.0
1718137800,67306.5,67323.5,67236.0,67241.0,5353.0
1718138700,67234.5,67296.0,67193.0,67296.0,2522.0
1718139600,67305.5,67337.0,67253.5,67253.5,1681.0
1718140500,67253.5,67318.5,67253.5,67303.0,270.0
1718141400,67298.0,67324.5,67204.0,67324.5,825.0
1718142300,67323.5,67389.0,67323.0,67377.5,748.0
1718143200,67408.0,67533.0,67402.0,67532.0,2654.0
1718144100,67534.0,67576.5,67364.0,67370.5,2612.0
1718145000,67391.5,67391.5,67319.5,67329.5,677.0
1718145900,67337.5,67388.5,67333.0,67366.0,4260.0
1718146800,67382.5,67599.0,67382.5,67490.5,7146.0
1718147700,67482.5,67485.0,67354.5,67365.0,1585.0
1718148600,67365.0,67394.5,67350.5,67370.5,380.0
1718149500,67319.0,67379.5,67307.5,67320.5,610.0
1718150400,67307.0,67421.5,67298.0,67421.5,675.0
1718151300,67421.5,67422.0,67231.5,67235.5,2330.0
1718152200,67235.5,67283.5,67201.0,67283.5,1611.0
1718153100,67292.0,67310.0,67185.5,67202.5,2065.0
1718154000,67208.0,67257.0,67155.0,67163.0,4331.0
1718154900,67163.0,67173.0,66903.0,66970.0,12836.0
1718155800,66996.5,67141.5,66917.0,66971.5,4359.0
1718156700,66963.0,67207.0,66929.0,67187.5,2031.0
1718157600,67199.0,67489.5,67131.5,67397.0,12079.0
1718158500,67397.0,67612.0,67396.5,67533.0,12301.0
1718159400,67571.0,67571.0,67368.5,67399.5,6347.0
1718160300,67420.0,67458.0,67335.5,67417.5,4428.0
1718161200,67416.5,67497.5,67382.0,67383.0,1577.0
1718162100,67400.0,67463.0,67363.0,67375.5,2225.0
1718163000,67353.0,67434.0,67331.0,67434.0,1976.0
1718163900,67417.0,67483.0,67377.0,67426.0,1726.0
1718164800,67440.0,67564.5,67408.5,67526.5,5965.0
1718165700,67527.5,67594.0,67483.0,67537.0,5237.0
1718166600,67532.5,67614.5,67522.5,67606.0,5603.0
1718167500,67596.5,67598.0,67469.5,67495.5,8575.0
1718168400,67508.5,67520.5,67368.0,67420.0,6063.0
1718169300,67429.0,67512.0,67385.0,67386.5,4815.0
1718170200,67378.5,67445.0,67297.0,67327.0,7012.0
1718171100,67316.0,67335.0,67214.0,67271.0,6819.0
1718172000,67290.5,67383.5,67287.5,67360.5,4105.0
1718172900,67360.5,67410.5,67325.0,67358.5,5177.0
1718173800,67346.5,67400.0,67304.0,67378.0,1256.0
1718174700,67369.5,67381.5,67289.0,67295.5,1756.0
1718175600,67294.5,67354.5,67262.5,67353.5,4977.0
1718176500,67353.0,67460.0,67338.5,67404.0,6476.0
1718177400,67411.0,67443.0,67364.5,67413.5,2684.0
1718178300,67379.5,67507.0,67379.5,67464.0,4120.0
1718179200,67480.5,67558.5,67451.0,67552.0,5341.0
1718180100,67552.0,67552.0,67403.5,67410.0,8691.0
1718181000,67410.0,67478.5,67389.0,67463.5,3364.0
1718181900,67471.5,67478.0,67390.0,67409.5,6264.0
1718182800,67396.0,67506.0,67365.0,67500.0,3024.0
1718183700,67475.5,67490.5,67435.0,67454.0,533.0
1718184600,67440.0,67534.0,67415.0,67534.0,5391.0
1718185500,67520.0,67811.0,67504.0,67750.0,27365.0
1718186400,67760.5,68030.5,67760.5,67912.5,25154.0
1718187300,67924.0,67950.0,67817.5,67866.0,11746.0
1718188200,67869.5,67949.0,67814.0,67898.0,10478.0
1718189100,67898.0,68079.5,67861.0,68010.0,20195.0
1718190000,68014.0,68032.0,67873.0,67916.5,7376.0
